"","C01","C02","C03","C04","C06","C07","C08","C09","C10","C11","C12","C13","C14","C15","P01","P13","P25"
"TZ001AQ_6u7d3js0rqy7_2023-09-23T09-00_water",5.78307933929083e-34,2.83862003751719e-25,1.56139200848851e-24,1.82747044981106e-24,3.3053205135969e-24,3.93247751888682e-24,1.89411096267573e-22,2.79816415011635e-25,1.48258572469652e-28,9.93353542860915e-28,1.36708855825434e-24,3.9221855633841e-25,9.49886971889825e-25,8.5070548619776e-22,1.43669773716204e-18,2.15207366551524e-13,99.9999999999998
"TZ002AQ_6u7d3js0rqy8_2023-09-23T09-05_water",2.37781245733023e-13,5.04325764809958e-08,7.2674072332158e-07,1.88098766764816e-07,2.65427393820999e-07,2.72724590720709e-07,5.12200968690129e-06,4.01449774265341e-08,5.07567775373459e-11,3.69990859945652e-10,3.01417665255038e-07,5.37573556931103e-08,1.12287103272367e-07,1.13044132119656e-05,0.00593140014277717,7.93900726405898,92.0550428979232
"TZ003AQ_6u7d3js0rqy9_2023-09-23T09-10_water",2.92363385701527e-40,1.0414417857916e-30,9.3528807326275e-30,7.85215306260595e-30,1.54011748072363e-29,2.01044711643805e-29,1.56526674930037e-27,9.79220064054448e-31,8.77455714984856e-34,9.14004438362763e-33,6.43085626656216e-30,1.31125116272087e-30,3.75051029457696e-30,7.76303571969707e-27,4.5270699339085e-21,6.23113310976196e-16,100
"TZ004AQ_6u7d3js0rqy10_2023-09-23T09-15_water",2.56403428608048e-23,6.1857813379393e-20,2.25445057260691e-16,2.10478591557347e-19,2.84128094393893e-19,3.58169200839095e-19,2.13036416313683e-17,2.4234011300691e-20,3.56692760904691e-21,6.24655300765229e-19,3.51234726562945e-18,2.26812300711408e-20,9.65460307832517e-20,1.93956393393608e-17,98.5254552280839,1.4745447719158,3.11288854596933e-13
"TZ005AQ_6u7d3js0rqy11_2023-09-23T09-20_water",0.000239266474089133,0.115155041185617,1.51331688524641,0.237137600432192,0.27747466149589,0.269103458628517,1.62926629590266,0.0750962437767314,0.000250918419173434,0.0011405495796427,0.516317539949634,0.0956170216116532,0.169822999568651,2.00734214581635,0.683094649443196,92.4096246690116,5.34580238899343e-08
"TZ006AQ_6u7d3js0rqy12_2023-09-23T09-25_water",1.0210429318044e-05,0.0132638061821305,0.234530528673165,0.0159637921489733,0.0219671249270844,0.0376875052551145,0.179279556670086,0.00442713671735429,0.00282931859856747,0.0162090964280064,0.0434661727643688,0.00388166044317127,0.011727127950649,0.138012068121245,1.1323387599474,98.144406133814,9.29409325475103e-10
"TZ007AQ_6u7d3js0rqy13_2023-09-23T09-30_water",1.81879414934206e-16,5.29908348167746e-15,9.85901006780056e-12,1.59530617102809e-14,1.73984573436954e-14,1.53048469404429e-14,4.2709948499461e-13,2.73030124482969e-15,3.30820975924862e-17,2.84366195165719e-15,2.42026033129147e-13,3.0962031921701e-15,8.3762120503423e-15,3.56955182486662e-13,99.0422962708663,0.957703729122723,1.49458657411599e-18
"TZ008AQ_6u7d3js0rqy14_2023-09-23T09-35_water",3.38632632170545e-10,8.75826267520354e-09,2.75420861076926e-06,2.08750817901172e-08,2.25097990393609e-08,2.01082347167338e-08,2.67076163422524e-07,4.78169344854908e-09,4.03190433193567e-11,1.11804140462502e-09,1.67556971873798e-07,5.63103185031417e-09,1.26394270706903e-08,2.32255909089065e-07,84.0220221047244,15.9779743773774,4.02467968941101e-16
"TZ009AQ_6u7d3js0rqy15_2023-09-23T09-40_water",8.4889239454505e-14,3.32582817509896e-10,5.82499103322523e-08,7.64402434374907e-10,1.04573679288848e-09,1.43222670241055e-09,2.58672655730352e-08,1.38398980860216e-10,1.57672638920405e-11,4.18389500932797e-10,4.20295972635325e-09,1.34421187407918e-10,4.41495305595355e-10,2.56283044130861e-08,24.3960098131075,75.6039900540766,1.41440075824375e-08
"TZ373AQ_6uk0nup1bwgk_2021-10-19T18-07_water",10.6892079871191,8.87258992476667,5.90033869086379,10.0590993630132,8.86763399118019,6.01480373743081,4.71778193815125,7.73504277881332,0.00176898894894433,0.000802635574689699,9.61590452416712,12.3457564928329,10.4475548628738,4.73171408369542,2.77913102103386e-13,5.68495195683067e-10,8.06565474538387e-26
"TZ374AQ_6uk0nup1bwgk_2021-10-19T18-10_water",3.56218766749697,9.46642256596855,7.31415535361254,10.3203550512304,9.75114098096842,7.70240497634248,6.90430394323718,7.16299157868456,0.00541725905037601,0.00290745055397931,10.1938029428009,10.4683814678695,10.4476781728215,6.69785057961747,4.19478515576837e-12,9.74097857842674e-09,1.52922078218846e-23
"TZ375AQ_6uk0nup1bwgk_2021-10-19T18-12_water",99.2763248578797,0.0540331256306408,0.082184083906153,0.0710774235938408,0.0434164536967969,0.0145216406860217,0.00779048286836203,0.0776509510410971,1.78762428142635e-07,8.53198891312984e-08,0.113957665381399,0.173667407644883,0.078356350491486,0.00701929309733534,8.35067609222972e-17,3.19733091892703e-15,1.33847524019846e-40
"TZ377AQ_6uk07cq35w60_2021-10-19T20-40_water",1.36461777339569,9.69172439527413,6.7260918894966,10.2926635049342,10.2289695827439,8.93361082715776,8.39316057577894,6.80959176077057,0.0100770831717607,0.00538280678700952,9.51408915432478,9.47513389658444,10.3417747247516,8.21311199917866,6.53917115369904e-12,2.56433955474064e-08,7.03895617467622e-22
"TZ378AQ_6uk07cq35w61_2021-10-19T20-42_water",1.38284259740841,10.679888484906,6.83782441772339,10.07774464844,10.2674022363081,9.90408661703958,8.32436396625858,6.69145880971517,0.0243031328442303,0.0123568798733509,9.27764800390868,8.74550869850327,10.3025203649817,7.47205112690295,3.46122343148273e-12,1.51831267838529e-08,1.83638350423407e-22
"TZ379AQ_6uk07cq35w62_2021-10-19T20-45_water",0.81657984445565,12.4001312717752,7.54609864413409,9.22279734909311,10.1613658801168,12.6687992761779,9.27371738525474,5.85782319429818,0.201635742211179,0.102873131998755,8.66106441116622,6.52918433217629,9.60692053517031,6.95100897867769,4.31149238250899e-12,2.32896129496675e-08,1.60815626200196e-22
"TZ381AQ_6uk01mtymg63_2021-10-19T17-00_water",1.23412783184761,5.96169761516065,32.3979466839249,5.79575372505143,6.09900686757341,6.75234175242748,10.6307268000568,2.79680657468425,0.0809882298809601,0.153006803539438,12.4767469576971,3.11913868846718,5.19415329010943,7.30581108952766,1.99965120464375e-05,0.00172709353963903,7.75943340541329e-21
"TZ382AQ_6uk01mtymg64_2021-10-19T17-02_water",1.42579547636662,9.45680301524629,9.1785114252395,9.70390924775587,9.769431282199,9.01433019448733,9.06000273760724,6.09624893676856,0.0171251072198891,0.0112267934446294,10.34957256668,8.093114954394,9.59319001931774,8.23073808637201,7.53849170856826e-11,1.56825893909654e-07,8.18991657968421e-22
"TZ383AQ_6uk01mtymg65_2021-10-19T17-05_water",1.03571753915945,9.31607035077961,6.53202960787924,10.3047185339963,10.2821931813541,8.87308688743236,8.85365392574903,6.71074582339219,0.00837166760172429,0.00457652620279798,9.39476008214105,9.44313840604,10.2557232540736,8.98521417128101,1.00390345025942e-11,4.29075294797811e-08,3.52385196832575e-21
"TZ385AQ_6uk0977pd5x4_2021-10-19T21-07_water",1.44174705785226,9.43651125200204,6.32102442422508,10.4670972340138,10.2626483609238,8.54810265978097,8.15991255166527,7.01349885651809,0.00668414476226402,0.00347889517983277,9.45955163982285,10.0692834481501,10.5032464288076,8.30721302686543,4.68517701850143e-12,1.94259227681924e-08,7.68982361087945e-22
"TZ386AQ_6uk0977pd5x5_2021-10-19T21-10_water",1.24182932970812,9.027189482779,7.3218762944,10.208462938286,10.0783309746579,8.49207218192287,8.82265170866572,6.58760298973387,0.00722870128966025,0.00427398535968545,9.86637076880115,9.34999748386354,10.0781337083387,8.91397937832758,2.38243014121108e-11,7.38424064247831e-08,2.6420129060629e-21
"TZ387AQ_6uk0977pd5x6_2021-10-19T21-12_water",1.18696760549291,9.52594715394392,7.01871322143594,10.1888657293068,10.1904046359078,8.99631977596852,8.76642403613326,6.62327044790409,0.01071740483598,0.00599250954646474,9.58844806736269,9.15150246102545,10.1680936839779,8.57833322192621,1.2230041699148e-11,4.521980112465e-08,1.57122588249496e-21
"TZ393AQ_6u7bzqht07xv_2021-10-19T21-32_water",1.21656682796462,10.5779335377995,6.94289928778124,10.0201407055577,10.2681701235304,10.0026063376297,8.6014305159641,6.5756051079338,0.0256312084738187,0.0133404561912725,9.27166275226457,8.54734455526622,10.2014546197568,7.73521394235118,4.9081106714748e-12,2.15302306446311e-08,3.5206123227181e-22
"TZ394AQ_6u7bzqht07xv_2021-10-19T21-35_water",1.37187373700523,9.523206214401,6.70017199167191,10.3311932904492,10.2172752317505,8.7583484842693,8.38631729496088,6.83506907897357,0.00855645112988743,0.00460659973958157,9.55587719497518,9.62251618640439,10.3501802785828,8.33480793800573,7.20988640660143e-12,2.76735940211297e-08,8.63416191291107e-22
"TZ395AQ_6u7bzqht07xv_2021-10-19T21-40_water",0.633164195893846,8.7826061544109,7.21450265197382,9.95083825240992,10.1421209613221,9.05520341264542,10.1069469019156,6.14194563046355,0.00994729937850192,0.0061816249416099,9.46749661865099,8.46668231009233,9.70223230377596,10.3201314507983,6.06577482158705e-11,2.31266481706412e-07,5.13788202574281e-20
"TZ397AQ_6u7ck2b421wx_2021-10-20T16-35_water",1.12402227916442,9.24578951352666,6.39514266962234,10.3891271092898,10.2852045495641,8.67718150234937,8.65280409809454,6.82454310199638,0.00699715971170046,0.00377285787779158,9.40943536718837,9.73957513122245,10.3462866089385,8.90011801645313,8.18394741677008e-12,3.4992259027693e-08,2.7722039822591e-21
"TZ398AQ_6u7ck2b421wx_2021-10-20T16-37_water",0.156942012732336,12.5343181805913,8.36968909966442,6.91644921977898,8.78934612561183,16.5137467301084,11.5868475335051,3.83913324332443,4.37633500789768,2.60706417778674,6.9050368019553,3.33046332408363,7.1985575160763,6.87607068903141,4.76496718007422e-11,3.37804571785681e-07,7.08993076331905e-21
"TZ399AQ_6u7ck2b421wx_2021-10-20T16-39_water",1.25563566205153,9.37908427979053,6.46528183174118,10.3895295125706,10.2643031856103,8.68556342436015,8.46888529005449,6.86861680493825,0.0074179919512431,0.00396443829508662,9.4601498105506,9.76969987441229,10.3836754266987,8.59819243836932,6.92917655153681e-12,2.85988769977431e-08,1.48316933050606e-21
"TZ401AQ_6u7bggyqu9wm_2021-10-19T14-45_water",0.551227194233238,11.88618269405,8.01520571353355,8.96840653951455,10.0549638026325,12.9099716904132,10.2254659563741,5.47621070169871,0.235112165262112,0.130930389152665,8.64207604757288,5.99994962861256,9.20831712593253,7.6959802734732,1.50877706104305e-11,7.75291580012958e-08,1.22910161900672e-21
"TZ402AQ_6u7bggyqu9wm_2021-10-19T15-03_water",1.04449587672245,7.82925766606099,11.4524432641702,9.28209385447688,9.2486064655263,7.94689165836369,10.2979888545583,5.43520092195894,0.00852076345654748,0.00732027109592015,11.1698307821952,7.49333642338215,8.77235279299837,10.011657730892,2.3587696787735e-09,2.67178328777466e-06,2.64411255966289e-20
"TZ403AQ_6u7bggyqu9wm_2021-10-19T15-06_water",0.157600090309292,7.33251744976721,6.46461732806323,9.41267615079761,9.95927932723191,8.98841744844384,12.836427579707,5.32675976796429,0.00717825321068489,0.00506485849190779,8.58678703940915,7.40942088124813,8.81493585306874,14.6983149354022,5.52015356785798e-10,3.03633281117816e-06,6.8611759696124e-17
"TZ405AQ_6u7c9mv2g8w8_2021-10-20T15-20_water",1.33014848636904,9.64561156271945,6.73495629987217,10.2893687684202,10.2291165565919,8.92225929086293,8.44628358079071,6.79237057130135,0.00989545042477879,0.00531398698050204,9.51679993815083,9.46060894482884,10.3253460206788,8.29192051429318,7.073697460694e-12,2.7708206432518e-08,8.31773290686668e-22
"TZ406AQ_6u7c9mv2g8w9_2021-10-20T15-22_water",2.10610765073763,9.3521119624522,5.77679973520778,10.7170715498539,10.2195174736038,7.93495384479715,7.29072176471231,7.47360830445066,0.00393774151594346,0.0019018153730843,9.41668900109949,11.2033502145419,10.8434098882418,7.65981904679487,1.56026595594162e-12,6.61594898865437e-09,1.61486610813957e-22
"TZ409AQ_6u7c1gyw8k5n_2021-10-19T12-45_water",0.290826415132643,11.7303710198379,8.70850527231555,8.28757819836441,9.73355263788201,14.1061736997643,11.6344200411488,4.76942904555099,0.567736165111347,0.348884363654403,8.27168622565626,4.85335898611437,8.42779971983745,8.26967787219465,6.44609352818244e-11,3.37370458977266e-07,1.12698215224984e-20
"TZ410AQ_6u7c1gyw8k5n_2021-10-19T13-10_water",0.0423833788445428,7.58346688322863,4.46055156588791,3.04793207941134,4.27169104497425,11.1362413868527,6.32291984164788,1.62021515442797,32.4605803146944,18.6042121262274,3.06147085841791,1.14805896976098,3.27017352837966,2.97010269051687,1.75894824345482e-11,1.7671006263098e-07,1.62776122570912e-21
"TZ411AQ_6u7c1gyw8k5n_2021-10-19T13-25_water",4.49726835018317e-11,5.29049486586792e-07,1.88235871849229e-07,2.30332731746056e-08,6.03177413700325e-08,1.42119548287405e-06,1.76903140928855e-07,9.34577324635144e-09,66.3746792082751,33.6253183069248,2.94425717958713e-08,1.65214762036603e-09,3.06253226704379e-08,1.49543622305462e-08,1.11759017640366e-19,3.88512425474784e-15,4.78287483003532e-34
"TZ413AQ_6u7cg77xfxf8_2021-10-20T15-50_water",0.0451329546354783,5.38503561342394,4.5843968736361,2.06691725381693,2.89558606443508,7.83894536101124,4.6043757081151,1.06023921565056,37.6852244482229,26.4907543172095,2.4611364273389,0.720698279339362,2.19309598853312,1.96846096011766,1.20728939637379e-10,5.34393379908367e-07,2.8119352664262e-22
"TZ414AQ_6u7cg77xfxf9_2021-10-20T15-52_water",1.96173054269812e-06,0.00357091528731276,0.00349069524574008,0.000574656678430719,0.00109516415244663,0.0079887929285572,0.00320935076213512,0.000233714692358758,52.992688303997,46.984912052201,0.000829205331759261,8.52304320110163e-05,0.000636710807817535,0.000683235058775688,1.82752107920767e-12,1.06923171451278e-08,5.31140601689676e-25
"TZ417AQ_6u7dn6pqfbq2_2021-10-20T14-20_water",1.09524061416368,9.48832478329165,7.15109614694591,10.1255071756853,10.1764362563752,9.08328221963501,8.96612232440498,6.52426956574396,0.0115720987984566,0.0065949673919139,9.59682736028782,8.95360343478416,10.0792918514533,8.74183114257734,1.60313696176036e-11,5.84453213548623e-08,2.28976356573314e-21
"TZ418AQ_6u7dn6pqfbq3_2021-10-20T14-22_water",2.14005349981874,7.3474473304838,14.9513154643542,8.86459518929878,8.55046233905659,6.96434039465895,9.34257597010809,5.17905659203152,0.00658609333542099,0.00662186864291052,12.3935185573081,7.24548159138161,8.30033892220456,8.70760100336142,1.06886769785498e-08,5.17326656974371e-06,2.30935067329634e-21
"TZ419AQ_6u7dn6pqfbq4_2021-10-20T14-25_water",1.42465834487447,9.65471122117454,6.60089099154322,10.3483509459239,10.2377398042781,8.82196786597,8.27232072584244,6.88666692315164,0.00903727769734056,0.00476935632393949,9.50081120567119,9.665682303136,10.4052161828699,8.16717682950878,5.53650373055613e-12,2.20289293809454e-08,6.15161339787869e-22
"TZ421AQ_6u7d7vxhgbq0_2021-10-20T13-00_water",1.89495435981032,9.2531026458022,5.75830084163421,10.7204144970147,10.2510177151968,7.95985820774326,7.46772206393844,7.42317395353342,0.00382846955974622,0.0018698520737221,9.3927858482793,11.1408976566603,10.8097836667998,7.92229021371008,1.89377385574962e-12,8.24185290972455e-09,2.91141600018852e-22
"TZ422AQ_6u7d7vxhgbq1_2021-10-20T13-02_water",1.15465600383629,9.20516561217365,6.42913901799354,10.3968430422799,10.2695239636574,8.61018078541991,8.61954630425844,6.83400598102744,0.00667704363473487,0.00361558107386632,9.44927227980778,9.78631927086565,10.3471394105641,8.88791566792712,8.51116974573254e-12,3.54716136182165e-08,2.63797137565683e-21
"TZ423AQ_6u7d7vxhgbq2_2021-10-20T13-05_water",4.22117378361283,7.69827410247921,5.15654425949989,11.0447017667876,9.67021091756799,5.77913769278146,5.95568746527236,8.12152252742296,0.000457949748468891,0.000221455917706775,9.72520812625073,14.2671585114113,11.0044989510519,7.35520248684519,1.11406932990234e-12,3.34926786512016e-09,6.0828491194586e-23
"TZ425AQ_6u7d3js0rxfx_2021-10-20T11-55_water",1.42651088939676,9.66309052911518,6.627547476272,10.3399515007856,10.2334877884819,8.83312354334983,8.27917021686018,6.87729865558109,0.00917983489427015,0.00485378920238903,9.50915731811156,9.64083529177761,10.3967656092799,8.15902753451559,5.65951934261144e-12,2.23704903841745e-08,6.06138258298447e-22
"TZ426AQ_6u7d3js0rxfx_2021-10-20T12-00_water",1.2063076342292,9.52508865125692,6.72341383605742,10.2773173513493,10.240568297625,8.92438736804438,8.6297176447719,6.73721254273518,0.00955630606502694,0.00519755231426026,9.4931939140533,9.39844009127221,10.2770789367196,8.55251983886794,8.69406509747903e-12,3.46296512698891e-08,1.453901515979e-21
"TZ427AQ_6u7d3js0rxfx_2021-10-20T12-05_water",1.46476597435169,9.65260202817318,6.57755224048185,10.3641398700414,10.2347631254658,8.78146251873292,8.213971543255,6.9140619841751,0.00876266605535777,0.00460674446186426,9.5069313202061,9.72883556367073,10.4263628077288,8.12118159251934,5.21274949171185e-12,2.06756432193652e-08,5.49336781798169e-22
"TZ429AQ_6u7dte1g566r_2021-10-20T19-10_water",0.631538797178107,8.82194111682744,8.08732532890879,9.6993756668506,9.97869809357208,9.24037527435325,10.4162139854629,5.87099185237461,0.0138754038704243,0.00923169279532299,9.70834354233481,7.87559032923168,9.42249797250875,10.2240005176262,1.37357557415921e-10,4.25967626709219e-07,4.84793844358337e-20
"TZ430AQ_6u7dte1g566r_2021-10-20T19-13_water",1.0932114905064,9.18097724314833,6.63609133275819,10.3206513127113,10.2399574424718,8.68875125543778,8.80306316946091,6.72167575213059,0.00733677401133291,0.00407228049037499,9.5037049427814,9.54738707789847,10.2449967369681,9.00812314219771,1.17953535246873e-11,4.70154879821215e-08,3.44586278446988e-21
"TZ431AQ_6u7dte1g566r_2021-10-20T19-15_water",0.130413051404709,6.27818741858246,7.92987734708305,8.91769292346385,9.36289505586193,8.05675128316987,13.9797706315363,4.7635670479815,0.00451292247493009,0.00401315279944024,9.12300240174516,6.77464552260749,8.06230128850838,16.6123392477117,9.88303095973904e-09,3.06951861616099e-05,7.42749126084357e-16
